epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,43.115,0.85097,1.23095,1.29963,0.75855,0.80211,0.86767,0.43693,1.60352,1.62909,2.50891,0.000848969,0.000848969,0.000848969
43,44.0612,0.91592,1.21908,1.36245,0.64062,0.9849,0.8675,0.47509,1.49733,1.66966,2.39479,0.000834822,0.000834822,0.000834822
44,45.1031,0.85739,1.27487,1.38201,0.62083,0.88889,0.81056,0.5228,1.37775,1.90421,2.18454,0.000820675,0.000820675,0.000820675
45,46.0676,0.82712,1.26331,1.29747,0.72673,0.76245,0.77829,0.42662,1.36979,1.83903,2.40371,0.000806528,0.000806528,0.000806528
46,47.0376,0.82759,1.13834,1.32997,0.72785,0.77778,0.7595,0.4156,1.28073,1.68661,2.32387,0.00079238,0.00079238,0.00079238
47,48.0091,0.79667,1.17943,1.29635,0.79278,0.77778,0.77646,0.43488,1.27541,1.56325,2.29404,0.000778233,0.000778233,0.000778233
48,48.9625,0.74513,1.21361,1.27491,0.71188,0.8503,0.83311,0.49312,1.32964,1.51181,2.30348,0.000764086,0.000764086,0.000764086
49,49.9027,0.80992,1.12984,1.32385,0.76283,0.88889,0.89041,0.50837,1.32923,1.48766,2.22805,0.000749939,0.000749939,0.000749939
50,50.8651,0.85628,1.27316,1.33669,0.79451,0.88125,0.82367,0.46957,1.52608,1.49404,2.42992,0.000735792,0.000735792,0.000735792
51,51.8028,0.80879,1.05911,1.25516,0.68221,0.88835,0.81214,0.44696,1.60276,1.50905,2.5664,0.000721645,0.000721645,0.000721645
52,52.7441,0.77163,1.05254,1.26016,0.59492,0.81836,0.815,0.45231,1.7323,1.51835,2.78514,0.000707498,0.000707498,0.000707498
53,53.7012,0.86627,1.16111,1.34994,0.75363,0.72222,0.83417,0.45685,1.76305,1.45669,2.74228,0.000693351,0.000693351,0.000693351
54,54.6654,0.76111,1.17546,1.30591,0.72683,0.72222,0.84845,0.48677,1.50568,1.45203,2.38945,0.000679204,0.000679204,0.000679204
55,55.6256,0.74555,1.1134,1.24102,0.73055,0.72222,0.84845,0.48201,1.53692,1.40196,2.41613,0.000665057,0.000665057,0.000665057
56,56.5575,0.79233,1.04463,1.27803,0.85001,0.92237,0.93944,0.51183,1.45968,1.34297,2.41062,0.000650909,0.000650909,0.000650909
57,57.5005,0.71315,1.03428,1.24361,0.85331,0.92548,0.93944,0.58245,1.37058,1.29556,2.37941,0.000636762,0.000636762,0.000636762
58,58.4801,0.84124,1.17343,1.34659,0.73513,0.71583,0.85639,0.51093,1.46887,1.39541,2.52025,0.000622615,0.000622615,0.000622615
